,date,league,local_team,visit_team,home_win,visitor_win,tie,exp_goals,exp_goals_prob,total_goals,home_goals,visitor_goals
0,04-26,La Liga,Real Sociedad,Real Madrid,0.1672,0.6106,0.2215,+1.5,0.7537,2.71,0.85,1.86
1,04-26,Bundesliga,Bochum,Hoffenheim,0.3784,0.405,0.2152,+2.5,0.7187,3.72,1.83,1.9
2,04-26,Serie A,Frosinone,Salernitana,0.7016,0.1262,0.1683,+2.5,0.6651,3.43,2.47,0.95
3,04-26,Ligue 1,Montpellier,Nantes,0.4437,0.2737,0.2825,+1.5,0.6557,2.24,1.29,0.95
4,04-27,La Liga,Las Palmas,Girona,0.3025,0.4183,0.2791,+1.5,0.6756,2.33,1.05,1.28
5,04-27,La Liga,Almeria,Getafe,0.2244,0.5554,0.2192,+1.5,0.817,3.11,1.16,1.95
6,04-27,La Liga,Alaves,Celta Vigo,0.3654,0.3738,0.2607,+1.5,0.7432,2.66,1.32,1.34
7,04-27,La Liga,Atletico Madrid,Athletic Club,0.5147,0.221,0.2641,+1.5,0.6796,2.35,1.48,0.87
8,04-27,Serie A,Lecce,Monza,0.302,0.3817,0.3163,+0.5,0.8514,1.91,0.88,1.03
9,04-27,Serie A,Juventus,AC Milan,0.5047,0.2571,0.2378,+1.5,0.7831,2.89,1.72,1.16
10,04-27,Serie A,Lazio,Verona,0.5044,0.1732,0.3224,+0.5,0.8099,1.66,1.13,0.53
11,04-27,Bundesliga,RasenBallsport Leipzig,Borussia Dortmund,0.4205,0.2894,0.29,+1.5,0.6393,2.17,1.22,0.96
12,04-27,Bundesliga,Freiburg,Wolfsburg,0.5144,0.2543,0.2307,+1.5,0.8031,3.02,1.81,1.21
13,04-27,Bundesliga,Augsburg,Werder Bremen,0.5352,0.2281,0.2362,+1.5,0.7685,2.8,1.74,1.05
14,04-27,Bundesliga,Bayern Munich,Eintracht Frankfurt,0.8326,0.0509,0.1006,+2.5,0.7418,3.87,3.17,0.7
15,04-27,Bundesliga,Bayer Leverkusen,VfB Stuttgart,0.7544,0.0832,0.1594,+1.5,0.7991,2.99,2.35,0.64
16,04-27,Premier League,West Ham,Liverpool,0.1866,0.5907,0.222,+1.5,0.7743,2.83,0.95,1.88
17,04-27,Premier League,Fulham,Crystal Palace,0.618,0.15,0.2316,+1.5,0.7019,2.45,1.73,0.71
18,04-27,Premier League,Manchester United,Burnley,0.5069,0.2587,0.2339,+1.5,0.7959,2.97,1.77,1.2
19,04-27,Premier League,Newcastle United,Sheffield United,0.8467,0.043,0.0873,+2.5,0.7763,4.1,3.4,0.71
20,04-27,Premier League,Wolverhampton Wanderers,Luton,0.5053,0.2708,0.2231,+1.5,0.8351,3.25,1.91,1.34
21,04-27,Premier League,Everton,Brentford,0.3685,0.3383,0.2932,+1.5,0.6393,2.17,1.12,1.06
22,04-27,Premier League,Aston Villa,Chelsea,0.6426,0.183,0.1658,+2.5,0.8038,4.31,2.82,1.49
23,04-27,Ligue 1,Paris Saint Germain,Le Havre,0.7682,0.0839,0.1419,+2.5,0.6646,3.42,2.65,0.77
24,04-28,Serie A,Inter,Torino,0.7673,0.0689,0.1617,+1.5,0.7562,2.73,2.22,0.5
25,04-28,Serie A,Bologna,Udinese,0.7306,0.0589,0.21,+0.5,0.868,2.02,1.72,0.3
26,04-28,Serie A,Atalanta,Empoli,0.7959,0.0619,0.1379,+1.5,0.8108,3.07,2.51,0.56
27,04-28,Serie A,Napoli,Roma,0.2754,0.4905,0.2336,+1.5,0.8059,3.03,1.27,1.77
28,04-28,Serie A,Fiorentina,Sassuolo,0.6973,0.1316,0.1664,+2.5,0.6897,3.56,2.54,1.02
29,04-28,Ligue 1,Metz,Lille,0.2798,0.4119,0.3083,+0.5,0.8599,1.97,0.86,1.11
30,04-28,Ligue 1,Strasbourg,Nice,0.3195,0.3613,0.3192,+0.5,0.8486,1.89,0.9,0.98
31,04-28,Ligue 1,Lorient,Toulouse,0.2786,0.4783,0.2427,+1.5,0.7792,2.86,1.21,1.66
32,04-28,Ligue 1,Clermont Foot,Reims,0.139,0.6506,0.2095,+1.5,0.7516,2.7,0.76,1.94
33,04-28,Ligue 1,Rennes,Brest,0.3761,0.3783,0.2453,+1.5,0.7934,2.95,1.47,1.48
34,04-28,Ligue 1,Lyon,Monaco,0.1542,0.6838,0.143,+3.5,0.7138,4.85,1.59,3.27
35,04-28,Ligue 1,Marseille,Lens,0.529,0.1836,0.2873,+0.5,0.8607,1.97,1.32,0.65
36,04-28,La Liga,Cadiz,Mallorca,0.3849,0.274,0.3411,+0.5,0.8127,1.67,0.94,0.74
37,04-28,La Liga,Granada,Osasuna,0.2771,0.4899,0.2325,+1.5,0.8099,3.06,1.28,1.78
38,04-28,La Liga,Villarreal,Rayo Vallecano,0.3849,0.3156,0.2994,+0.5,0.8764,2.09,1.11,0.98
39,04-28,La Liga,Real Betis,Sevilla,0.4653,0.2487,0.286,+0.5,0.8839,2.15,1.29,0.86
40,04-28,Premier League,Bournemouth,Brighton,0.3537,0.3956,0.2504,+1.5,0.7756,2.84,1.37,1.47
41,04-28,Premier League,Tottenham,Arsenal,0.1296,0.6708,0.1983,+1.5,0.7707,2.81,0.77,2.05
42,04-28,Premier League,Nottingham Forest,Manchester City,0.157,0.6478,0.1932,+1.5,0.8262,3.18,0.98,2.2
43,04-28,Bundesliga,Borussia M.Gladbach,Union Berlin,0.5888,0.1643,0.2466,+1.5,0.6767,2.33,1.61,0.72
44,04-28,Bundesliga,Mainz 05,FC Cologne,0.5305,0.1742,0.2952,+0.5,0.8461,1.87,1.27,0.6
45,04-28,Bundesliga,Darmstadt,FC Heidenheim,0.1769,0.6198,0.2017,+1.5,0.8247,3.17,1.04,2.13
46,04-29,Serie A,Genoa,Cagliari,0.5553,0.1874,0.2571,+1.5,0.6711,2.31,1.54,0.77
47,04-29,La Liga,Barcelona,Valencia,0.6318,0.1697,0.1966,+1.5,0.8317,3.22,2.18,1.04
